City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Olinda,BR,74.93,moderate rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
254,Springfield,US,70.92,overcast clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
256,Catalina,US,89.2,light rain,32.5056,-110.9211,Miraval Arizona Resort & Spa
259,Mabaruma,GY,76.57,broken clouds,8.2,-59.7833,Monty Brooms Guest House
260,Kontagora,NG,72.3,light rain,10.3999,5.4695,Queens Guest Inn
266,Upata,VE,74.57,broken clouds,8.0086,-62.3989,Posada Villa Nela
269,Saint-Louis,SN,82.42,overcast clouds,16.3333,-15.0,
272,Kalmunai,LK,78.22,overcast clouds,7.4167,81.8167,VS Villa
273,Kulu,TR,74.5,clear sky,39.0951,33.0799,Kapadokya Motel
275,Belmonte,BR,74.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
277,Thinadhoo,MV,77.29,overcast clouds,0.5333,72.9333,
278,Rabo De Peixe,PT,71.11,few clouds,37.8,-25.5833,Quinta das Giestas
279,Xapuri,BR,85.32,clear sky,-10.6517,-68.5044,Pousada dos Chapurys
282,Piacabucu,BR,74.57,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
284,Uarini,BR,77.04,overcast clouds,-2.99,-65.1083,
287,Lastoursville,GA,78.15,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
289,Axim,GH,74.68,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
291,Carballo,ES,71.01,clear sky,43.213,-8.691,Pazo do Souto
293,Jammalamadugu,IN,83.1,overcast clouds,14.8333,78.4,R and B Guest House
294,Douentza,ML,86.58,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
295,Desna,UA,70.86,scattered clouds,50.9273,30.7605,Log cabin
296,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
300,Vila Do Maio,CV,78.51,overcast clouds,15.1333,-23.2167,Hotel Marilu
302,Winneba,GH,73.6,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
304,Port Blair,IN,81.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
307,Bonfim,BR,74.77,overcast clouds,3.0833,-59.95,
308,Maraa,BR,77.27,broken clouds,-1.8333,-65.3667,
309,Montclair,US,89.31,scattered clouds,40.8259,-74.209,Meeting Expectations
317,Tabou,CI,74.59,scattered clouds,4.423,-7.3528,hotêl doufoulougou
320,Monaco-Ville,FR,82.24,clear sky,43.731,7.4248,Le Méridien Beach Plaza
