City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
166,Nanortalik,60.1432,-45.2371,44.73,90,49,7.99,GL,scattered clouds
167,Yar-Sale,66.8333,70.8333,46.58,70,4,11.25,RU,clear sky
168,Matanzas,23.0411,-81.5775,81.36,94,75,8.05,CU,broken clouds
169,Margate,51.3813,1.3862,67.87,81,100,3.0,GB,overcast clouds
170,Ilulissat,69.2167,-51.1,48.22,87,75,8.05,GL,broken clouds
171,Sao Filipe,14.8961,-24.4956,77.38,79,92,8.95,CV,overcast clouds
172,Mar Del Plata,-38.0023,-57.5575,53.1,90,0,5.99,AR,clear sky
173,Puerto Baquerizo Moreno,-0.9,-89.6,74.39,73,75,9.22,EC,broken clouds
174,Georgetown,5.4112,100.3354,80.53,90,20,2.3,MY,few clouds
175,Mahibadhoo,3.7833,72.9667,78.67,83,100,20.33,MV,overcast clouds
176,Birjand,32.8663,59.2211,73.26,44,41,10.98,IR,scattered clouds
177,Urucara,-2.5364,-57.76,75.02,95,97,1.72,BR,overcast clouds
178,Kamenka,51.3223,42.7678,69.01,68,100,10.38,RU,overcast clouds
179,Yining,29.0361,114.5636,74.28,93,54,0.81,CN,broken clouds
180,Krasnovishersk,60.4078,57.082,61.27,77,100,1.32,RU,overcast clouds
181,Maarianhamina,60.0973,19.9348,58.86,94,0,2.3,AX,clear sky
182,Halifax,44.6453,-63.5724,72.7,94,90,4.0,CA,overcast clouds
183,Araouane,18.9048,-3.5265,94.73,32,19,7.85,ML,few clouds
184,Lampa,-33.2833,-70.9,59.77,81,75,9.22,CL,broken clouds
185,Isla Mujeres,21.2311,-86.731,78.85,77,99,8.66,MX,overcast clouds
186,Ekibastuz,51.6667,75.3667,64.18,89,90,7.43,KZ,overcast clouds
187,Nouakchott,18.0858,-15.9785,78.73,80,100,13.09,MR,overcast clouds
188,Aracruz,-19.8203,-40.2733,70.81,75,92,8.93,BR,overcast clouds
